[Item ID]
Hex | Dec | Name
-----------------
0x00-0    :Magnum_Ammo
0x01-1    :Hand_Grenade
0x02-2    :Incendiary_Grenade
0x03-3    :Matilda
0x04-4    :Handgun_Ammo
0x05-5    :First_Aid_Spray
0x06-6    :Green_Herb
0x07-7    :Rifle_Ammo
0x08-8    :White_Egg
0x09-9    :Brown_Egg
0x0A-10   :Golden_Egg
0x0B-11   :Aaa1
0x0C-12   :Plage_Sample
0x0D-13   :Krauser_Knife
0x0E-14   :Flash_Grenade
0x0F-15   :Salazar_Family_Insignia
0x10-16   :BowGun
0x11-17   :BowGun_Bolts
0x12-18   :Green_HerbX2
0x13-19   :Green_HerbX3
0x14-20   :Mixed_Herbs_GR
0x15-21   :Mixed_Herbs_GRY
0x16-22   :Mixed_Herbs_GY
0x17-23   :Rocket_Launcher_SP
0x18-24   :Shotgun_Ammo
0x19-25   :Red_Herb
0x1A-26   :HndCannon_Ammo
0x1B-27   :HourGlass_W_GoldDecor
0x1C-28   :Yellow_Herb
0x1D-29   :Stone_Tablet
0x1E-30   :Lion_Ornament
0x1F-31   :Goat_Ornament
0x20-32   :TMP_Ammo
0x21-33   :Punisher
0x22-34   :Punisher_W_Silencer
0x23-35   :HandGun
0x24-36   :HandGun_W_Silencer
0x25-37   :Red9
0x26-38   :Red9_W_Stock
0x27-39   :BlackTail
0x28-40   :BlackTail_W_Silencer
0x29-41   :Broken_Butterfly
0x2A-42   :Killer7
0x2B-43   :Killer7_W_Silencer
0x2C-44   :ShotGun
0x2D-45   :Striker
0x2E-46   :Rifle
0x2F-47   :Rifle_SemiAuto
0x30-48   :TMP
0x31-49   :Activation_Key_Blue
0x32-50   :TMP_W_Stock
0x33-51   :Activation_Key_Red
0x34-52   :Chicago_Typewriter_Inf
0x35-53   :Rocket_Launcher
0x36-54   :Mine_Thrower
0x37-55   :HandCannon
0x38-56   :Combat_Knife
0x39-57   :Serpent_Ornament
0x3A-58   :MoonStone_RightHalf
0x3B-59   :Insignia_Key
0x3C-60   :Round_Insignia
0x3D-61   :False_Eye
0x3E-62   :Custom_TMP
0x3F-63   :Silencer_HndGun
0x40-64   :Silencer_Unknown
0x41-65   :PRL_412
0x42-66   :Stock_Red9
0x43-67   :Stock_TMP
0x44-68   :Scope_Rifle
0x45-69   :Scope_SemiAuto
0x46-70   :Mine_Ammo
0x47-71   :ShotGun_Unknown
0x48-72   :Capture_Luis_Sera
0x49-73   :Target_Practice
0x4A-74   :Luis_Memo1
0x4B-75   :Castellan_Memo
0x4C-76   :Female_instruder
0x4D-77   :Butler_Memo
0x4E-78   :Sample_Retrieved
0x4F-79   :Ritual_Preparation
0x50-80   :Luis_Memo2
0x51-81   :Rifle_SemiAuto_W_InfraredScope
0x52-82   :Krauser_Bow
0x53-83   :Chicago_TypeWriter_Regular
0x54-84   :Treasuer_Map_Castle
0x55-85   :Treasuer_Map_Island
0x56-86   :Velvet_Blue
0x57-87   :Spinel
0x58-88   :Pearl_Pendant
0x59-89   :Brass_Pocket_Watch
0x5A-90   :Elegant_Headdress
0x5B-91   :Antigue_Pipe
0x5C-92   :Gold_Bangle_W_Pearls
0x5D-93   :Amber_Ring
0x5E-94   :Beerstein
0x5F-95   :Green_CatsEye1
0x60-96   :Red_CatsEye
0x61-97   :Yellow_CatsEye
0x62-98   :Beerstein_G
0x63-99   :Beerstein_
0x64-100   :Beerstein_Y
0x65-101   :Beerstein_GR
0x66-102   :Beerstein_GY
0x67-103   :Beerstein_RY
0x68-104   :Beerstein_GRY
0x69-105   :Moonstone_LeftHalf
0x6A-106   :Chicago_TypeWriter_Ammo
0x6B-107   :Rifle_Scope
0x6C-108   :Rifle_SemiAuto_Scope
0x6D-109   :Infinite_Launcher
0x6E-110   :King_Grail
0x6F-111   :Queen_Grail
0x70-112   :Staff_Of_Royalty
0x71-113   :Gold_Bars
0x72-114   :Arrows
0x73-115   :Bonus_Time
0x74-116   :Emergency_Lock_KeyCard
0x75-117   :Bonus_Points
0x76-118   :Green_CatsEye2
0x77-119   :Ruby
0x78-120   :Treasure_Box_S
0x79-121   :Treasure_Box_L
0x7A-122   :Blue_Moonstone
0x7B-123   :Mine_Key
